model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,confusion_matrix,inference_time_ms
Majority Baseline,Stratified Random Holdout,0.5487,0.1829,0.3333,0.2362,0.3888,0.5487,1.0,0.7086,0.0,0.0,0.0,0.0,0.0,0.0,"[[1787, 0, 0], [1246, 0, 0], [224, 0, 0]]",0.0
Rule Baseline (Tier 1: MOI),Stratified Random Holdout,0.4378,0.3982,0.4834,0.4071,0.4475,0.4967,0.3839,0.4331,0.5021,0.4904,0.4961,0.1958,0.5759,0.2922,"[[686, 606, 495], [600, 611, 35], [95, 0, 129]]",0.0001
Rule Baseline (Tier 2: MOI+Env),Stratified Random Holdout,0.4805,0.4343,0.5127,0.4401,0.4942,0.546,0.4382,0.4862,0.561,0.5241,0.5419,0.1958,0.5759,0.2922,"[[783, 509, 495], [558, 653, 35], [93, 2, 129]]",0.0007
Rule Baseline (Tier 3: Crop/Stage),Stratified Random Holdout,0.4249,0.3917,0.5318,0.4043,0.4073,0.4542,0.2334,0.3083,0.4945,0.6477,0.5608,0.2263,0.7143,0.3437,"[[417, 825, 545], [437, 807, 2], [64, 0, 160]]",0.0816
Logistic Regression,Stratified Random Holdout,0.7338,0.6787,0.7621,0.6555,0.7766,0.9536,0.6782,0.7927,0.8655,0.8002,0.8315,0.217,0.808,0.3422,"[[1212, 138, 437], [33, 997, 216], [26, 17, 181]]",0.002
Random Forest,Stratified Random Holdout,0.9917,0.9845,0.9689,0.9764,0.9916,0.9939,0.9966,0.9953,0.9928,0.9992,0.996,0.9668,0.9107,0.9379,"[[1781, 0, 6], [0, 1245, 1], [11, 9, 204]]",0.0188
HistGradientBoosting,Stratified Random Holdout,0.9994,0.9995,0.997,0.9982,0.9994,1.0,1.0,1.0,0.9984,1.0,0.9992,1.0,0.9911,0.9955,"[[1787, 0, 0], [0, 1246, 0], [0, 2, 222]]",0.0187
XGBoost,Stratified Random Holdout,0.9994,0.9995,0.997,0.9982,0.9994,1.0,1.0,1.0,0.9984,1.0,0.9992,1.0,0.9911,0.9955,"[[1787, 0, 0], [0, 1246, 0], [0, 2, 222]]",0.0084
Majority Baseline,Unseen Combination Evaluation,0.5502,0.1834,0.3333,0.2366,0.3905,0.5502,1.0,0.7098,0.0,0.0,0.0,0.0,0.0,0.0,"[[1870, 0, 0], [1301, 0, 0], [228, 0, 0]]",0.0
Rule Baseline (Tier 1: MOI),Unseen Combination Evaluation,0.431,0.3888,0.4751,0.3963,0.4356,0.4872,0.3251,0.39,0.5,0.565,0.5305,0.1791,0.5351,0.2684,"[[608, 735, 527], [534, 735, 32], [106, 0, 122]]",0.0001
Rule Baseline (Tier 2: MOI+Env),Unseen Combination Evaluation,0.4763,0.4268,0.5082,0.4313,0.4844,0.549,0.3684,0.441,0.5523,0.6211,0.5847,0.1791,0.5351,0.2684,"[[689, 654, 527], [461, 808, 32], [105, 1, 122]]",0.0007
Rule Baseline (Tier 3: Crop/Stage),Unseen Combination Evaluation,0.4184,0.3845,0.5093,0.3899,0.4071,0.4626,0.238,0.3143,0.5,0.6364,0.56,0.1908,0.6535,0.2953,"[[445, 828, 597], [438, 828, 35], [79, 0, 149]]",0.1113
Logistic Regression,Unseen Combination Evaluation,0.7202,0.6707,0.7395,0.6386,0.7676,0.9713,0.6524,0.7806,0.8496,0.8117,0.8302,0.1911,0.7544,0.305,"[[1220, 153, 497], [14, 1056, 231], [22, 34, 172]]",0.0017
Random Forest,Unseen Combination Evaluation,0.9467,0.8573,0.8409,0.8486,0.9456,0.9708,0.9791,0.975,0.9602,0.9646,0.9624,0.6408,0.5789,0.6083,"[[1831, 11, 28], [0, 1255, 46], [55, 41, 132]]",0.0164
HistGradientBoosting,Unseen Combination Evaluation,0.955,0.8703,0.8796,0.8748,0.9556,0.9786,0.9781,0.9783,0.9767,0.9677,0.9722,0.6556,0.693,0.6738,"[[1829, 0, 41], [0, 1259, 42], [40, 30, 158]]",0.0204
XGBoost,Unseen Combination Evaluation,0.9556,0.8721,0.88,0.876,0.9561,0.9786,0.9786,0.9786,0.9767,0.9685,0.9726,0.6611,0.693,0.6767,"[[1830, 0, 40], [0, 1260, 41], [40, 30, 158]]",0.0078
